Designator,Mid X,Mid Y,Rotation,Layer
J1,101.4,-15.95,270.0,bottom
J10,247.3,-143.9,270.0,top
J100,103.3,-33.9,270.0,top
J101,84.1,-33.9,270.0,top
J102,103.3,-143.9,270.0,top
J103,84.1,-143.9,270.0,top
J104,97.3,-33.9,270.0,top
J105,78.1,-33.9,270.0,top
J106,97.3,-143.9,270.0,top
J107,78.1,-143.9,270.0,top
J108,91.3,-33.9,270.0,top
J109,72.1,-33.9,270.0,top
J11,228.1,-143.9,270.0,top
J110,91.3,-143.9,270.0,top
J111,72.1,-143.9,270.0,top
J112,77.7,-47.5,180.0,bottom
J113,77.7,-28.3,180.0,bottom
J114,247.7,-47.5,180.0,bottom
J115,247.7,-28.3,180.0,bottom
J116,77.7,-53.5,180.0,bottom
J117,77.7,-34.3,180.0,bottom
J118,247.7,-53.5,180.0,bottom
J119,247.7,-34.3,180.0,bottom
J12,241.3,-33.9,270.0,top
J120,77.7,-59.5,180.0,bottom
J121,77.7,-40.3,180.0,bottom
J122,247.7,-59.5,180.0,bottom
J123,247.7,-40.3,180.0,bottom
J124,77.7,-65.5,180.0,bottom
J125,77.7,-46.3,180.0,bottom
J126,247.7,-65.5,180.0,bottom
J127,247.7,-46.3,180.0,bottom
J128,77.7,-71.5,180.0,bottom
J129,77.7,-52.3,180.0,bottom
J13,222.1,-33.9,270.0,top
J130,247.7,-71.5,180.0,bottom
J131,247.7,-52.3,180.0,bottom
J132,77.7,-77.5,180.0,bottom
J133,77.7,-58.3,180.0,bottom
J134,247.7,-77.5,180.0,bottom
J135,247.7,-58.3,180.0,bottom
J136,77.7,-83.5,180.0,bottom
J137,77.7,-64.3,180.0,bottom
J138,247.7,-83.5,180.0,bottom
J139,247.7,-64.3,180.0,bottom
J14,241.3,-143.9,270.0,top
J140,77.7,-89.5,180.0,bottom
J141,77.7,-70.3,180.0,bottom
J142,247.7,-89.5,180.0,bottom
J143,247.7,-70.3,180.0,bottom
J144,77.7,-95.5,180.0,bottom
J145,77.7,-76.3,180.0,bottom
J146,247.7,-95.5,180.0,bottom
J147,247.7,-76.3,180.0,bottom
J148,77.7,-101.5,180.0,bottom
J149,77.7,-82.3,180.0,bottom
J15,222.1,-143.9,270.0,top
J150,247.7,-101.5,180.0,bottom
J151,247.7,-82.3,180.0,bottom
J152,77.7,-107.5,180.0,bottom
J153,77.7,-88.3,180.0,bottom
J154,247.7,-107.5,180.0,bottom
J155,247.7,-88.3,180.0,bottom
J156,77.7,-113.5,180.0,bottom
J157,77.7,-94.3,180.0,bottom
J158,247.7,-113.5,180.0,bottom
J159,247.7,-94.3,180.0,bottom
J16,235.3,-33.9,270.0,top
J160,77.7,-119.5,180.0,bottom
J161,77.7,-100.3,180.0,bottom
