Designator,Mid X,Mid Y,Rotation,Layer
AE1,59.4,-147.3,270.0,top
C1,92.85,-155.2,90.0,top
C10,82.4,-136.97,90.0,top
C11,70.22,-133.15,180.0,top
C12,70.22,-134.2,180.0,top
C13,68.05,-139.08,90.0,top
C14,69.1,-138.67,90.0,top
C15,68.05,-136.97,90.0,top
C2,79.95,-144.07,270.0,top
C20,82.73,-138.85,0.0,top
C21,82.73,-143.65,0.0,top
C22,76.82,-131.85,180.0,top
C23,78.88,-131.85,0.0,top
C24,83.98,-131.85,0.0,top
C25,82.02,-131.85,180.0,top
C26,84.5,-117.74,0.0,top
C27,84.5,-118.74,0.0,top
C28,84.5,-120.74,0.0,top
C29,81.85,-122.24,90.0,top
C3,69.1,-140.63,270.0,top
C30,80.8,-120.24,270.0,top
C31,80.45,-129.8,270.0,top
C32,82.9,-118.24,90.0,top
C33,80.8,-118.24,90.0,top
C35,67.75,-118.47,90.0,top
C36,68.8,-118.47,90.0,top
C37,70.825,-115.8,0.0,top
C38,74.45,-125.6,180.0,top
C4,75.62,-133.3,0.0,top
C40,73.925,-116.85,180.0,top
C41,74.45,-124.05,180.0,top
C42,69.85,-122.4,90.0,top
C43,63.25,-116.15,90.0,top
C44,85.65,-163.73,90.0,top
C45,89.9,-164.305,90.0,top
C48,67.55,-104.38,270.0,top
C49,67.55,-102.5,270.0,top
C5,69.75,-145.7,270.0,top
C50,92.24,-144.2,180.0,top
C51,94.15,-144.2,180.0,top
C52,91.98,-124.75,180.0,top
C53,93.88,-124.75,180.0,top
C54,78.22,-144.55,180.0,top
C55,85.33,-160.5,0.0,top
C56,85.8,-159.03,270.0,top
C57,83.6,-161.0,270.0,top
C58,82.5,-160.98,90.0,top
C59,79.25,-159.35,90.0,top
C6,72.6,-145.55,270.0,top
C60,78.25,-159.35,90.0,top
C61,79.3,-155.45,90.0,top
C62,78.25,-155.45,90.0,top
C63,74.15,-157.45,90.0,top
C64,73.1,-157.45,90.0,top
C65,74.9,-155.47,90.0,top
C66,75.38,-153.7,180.0,top
C67,83.675,-163.63,180.0,top
C68,82.425,-167.48,0.0,top
C69,80.475,-168.98,270.0,top
C7,81.35,-134.85,90.0,top
C70,81.475,-168.98,270.0,top
C71,87.525,-168.23,90.0,top
C72,77.656722,-112.091774,180.0,top
C73,84.536722,-114.171774,90.0,top
C74,79.546722,-112.091774,180.0,top
C75,79.536722,-111.091774,180.0,top
C8,82.4,-134.87,90.0,top
C9,81.35,-136.97,90.0,top
D1,90.1,-150.0,180.0,top
D10,67.25,-121.15,270.0,top
D11,60.15,-115.05,0.0,top
D12,78.336722,-114.141774,0.0,top
D3,94.3,-155.2,270.0,top
D4,68.25,-145.0,90.0,top
D5,76.85,-129.7,90.0,top
D6,84.0,-129.7,90.0,top
D7,78.85,-129.7,90.0,top
D8,82.0,-129.7,90.0,top
D9,65.2,-121.15,90.0,top
FB1,77.0125,-116.85,0.0,top
FB2,72.15,-127.1875,90.0,top
FB3,75.1,-131.2125,90.0,top
FB4,83.75,-134.3125,90.0,top
FB5,82.199222,-111.591774,0.0,top
FL2,73.15,-133.01,270.0,top
J2,70.9,-96.875,180.0,top
J3,98.35,-111.52,90.0,top
J4,98.35,-142.925,90.0,top
J5,73.45,-165.2175,180.0,top
L1,66.6,-138.2375,90.0,top
L4,80.2125,-161.45,180.0,top
L5,81.175,-165.28,180.0,top
L6,83.525,-168.78,0.0,top
L7,85.836722,-114.129274,90.0,top
